Company,TypeName,Inches,RamGB,OpSys,WeightKG,Price,GHz,CpuBrand,CpuVersion,MainMemory,SecondMemory,MainMemoryType,SecondMemoryType,TouchScreen,Resolution,PanelType,GpuBrand,GpuVersion
Asus,Gaming,17.3,8,Windows 10,3.2,69210.72,3.0,AMD, Ryzen 1700 ,256,1000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon RX 580
Dell,Notebook,15.6,4,Windows 10,2.3,34045.92,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Asus,Notebook,17.3,4,Windows 10,2.8,24828.48,1.1,Intel, Pentium Quad Core N4200 ,1000,0.0,HDD,None,0,1366x768,Without,Nvidia, GeForce 920MX
Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,16996.32,1.44,Intel, Atom x5-Z8550 ,64,0.0,FlashStorage,None,1,1920x1200,IPSPanel,Intel, HD Graphics 400
Acer,Notebook,15.6,8,Windows 10,2.2,44808.48,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
HP,Notebook,15.6,4,Windows 10,1.86,21231.5472,2.5,AMD, A6-Series 9220 ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R4 Graphics
HP,Notebook,13.3,8,Windows 10,1.49,58767.84,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Acer,Notebook,15.6,4,Windows 10,2.4,20459.52,2.4,Intel, Core i3 7100U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.13,40908.384,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 520
HP,Notebook,15.6,4,Windows 10,1.91,23389.92,2.0,Intel, Core i3 6006U ,128,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 520
Asus,Notebook,15.6,4,Windows 10,2.0,31232.203200000004,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 620
MSI,Gaming,17.3,16,Windows 10,2.43,130482.72,2.8,Intel, Core i7 7700HQ ,256,2000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1070
Asus,Notebook,15.6,4,Linux,2.0,22111.2,2.0,Intel, Core i3 6006U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 520
Dell,Notebook,17.3,16,Windows 10,2.8,69210.72,1.8,Intel, Core i7 8550U ,256,2000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon 530
Dell,Ultrabook,14.0,8,Windows 10,1.7,46833.12,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Lenovo,Notebook,14.0,8,No OS,1.7,31914.72,2.7,Intel, Core i3 7130U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 620
Asus,Notebook,14.0,8,Windows 10,1.4,50136.48,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
HP,Notebook,15.6,8,Windows 10,1.86,36763.2,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Asus,Ultrabook,15.6,16,Windows 10,1.8,105654.24,2.8,Intel, Core i7 7700HQ ,512,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050 Ti
HP,Notebook,15.6,4,Windows 10,1.86,23373.4032,2.0,Intel, Core i3 6006U ,500,0.0,HDD,None,0,1366x768,Without,AMD, Radeon 520
HP,Notebook,14.0,4,Windows 10,1.44,12201.12,1.6,Intel, Celeron Dual Core N3060 ,32,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 400
Lenovo,Notebook,15.6,4,Windows 10,1.9,29250.72,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 620
Asus,Gaming,17.3,12,Linux,3.0,50562.72,2.8,Intel, Core i7 7700HQ ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050 Ti
Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,58021.92,2.5,Intel, Core i5 7200U ,128,0.0,SSD,None,1,2256x1504,Without,Intel, HD Graphics 620
Dell,Ultrabook,13.3,8,Windows 10,1.4,50882.4,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,AMD, Radeon 530
Dell,Notebook,15.6,8,Windows 10,2.2,46353.6,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 530
MSI,Gaming,17.3,8,Windows 10,2.7,58341.6,2.5,Intel, Core i5 7300HQ ,128,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Acer,Notebook,14.0,8,Windows 10,2.1,20725.92,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
Asus,Gaming,15.6,8,Windows 10,2.2,50562.72,2.8,Intel, Core i7 7700HQ ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Lenovo,Notebook,15.6,8,No OS,2.2,27652.32,2.5,Intel, Core i5 7200U ,2000,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.02,45554.4,1.8,Intel, Core i7 8550U ,128,1000.0,SSD,HDD,0,1920x1080,Without,Intel, UHD Graphics 620
Acer,Notebook,15.6,4,Windows 10,2.2,28238.4,2.7,Intel, Core i3 7130U ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce MX130
HP,Notebook,17.3,8,Windows 10,2.5,52054.56,1.6,Intel, Core i5 8250U ,128,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce 930MX
Dell,Ultrabook,15.6,8,Windows 10,1.88,58403.4048,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Apple,Ultrabook,12.0,8,macOS,0.92,80452.8,1.3,Intel, Core i5 ,512,0.0,SSD,None,0,2304x1440,IPSPanelRetinaDisplay,Intel, HD Graphics 615
HP,Notebook,14.0,8,Windows 10,1.63,45820.8,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Lenovo,Notebook,15.6,4,Windows 10,2.2,21258.72,2.5,AMD, A6-Series 9220 ,128,0.0,SSD,None,0,1920x1080,Without,AMD, R4 Graphics
Acer,Notebook,15.6,4,Windows 10,2.1,21045.6,3.0,AMD, A9-Series 9420 ,1000,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R5
Dell,Gaming,15.6,16,Windows 10,2.65,71874.72,2.8,Intel, Core i7 7700HQ ,128,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050 Ti
HP,Ultrabook,15.6,8,Windows 10,1.83,37242.72,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 940MX
HP,Notebook,15.6,8,Windows 10,1.96,31914.1872,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Asus,Gaming,15.6,16,Windows 10,2.2,77202.72,2.8,Intel, Core i7 7700HQ ,128,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1060
Dell,Ultrabook,13.3,8,Windows 10,1.21,87858.72,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Asus,Gaming,15.6,8,Windows 10,2.45,37242.72,3.0,AMD, FX 9830P ,1000,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon RX 560
Acer,Notebook,15.6,8,Windows 10,2.2,36709.92,1.8,Intel, Core i7 8550U ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce MX150
HP,Notebook,13.3,16,Windows 10,1.49,63776.16,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Dell,Gaming,15.6,8,Windows 10,2.65,63669.6,2.5,Intel, Core i5 7300HQ ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1060
Asus,Ultrabook,14.0,8,Windows 10,1.25,55890.72,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,45128.16,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, UHD Graphics 620
Dell,Notebook,15.6,8,Linux,2.2,31962.672,2.7,Intel, Core i7 7500U ,1000,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Dell,Notebook,15.6,4,Linux,2.2,25840.8,2.0,Intel, Core i3 6006U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Asus,Notebook,15.6,6,Windows 10,2.0,30742.56,2.4,Intel, Core i3 7100U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 920M
HP,Gaming,15.6,12,Windows 10,2.62,66546.72,2.8,Intel, Core i7 7700HQ ,128,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050
HP,Notebook,15.6,8,Windows 10,1.91,38308.32,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 530
HP,Notebook,15.6,4,Windows 10,2.1,18594.72,1.5,AMD, E-Series E2-9000e ,500,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon R2
Dell,Notebook,15.6,8,Linux,2.2,34472.16,1.6,Intel, Core i5 8250U ,1000,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon 520
HP,Ultrabook,13.3,8,Windows 10,1.38,59620.32,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX150
Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,71395.2,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,1,2256x1504,Without,Intel, HD Graphics 620
HP,Notebook,14.0,6,Windows 10,1.58,35111.52,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce 940MX
Lenovo,Notebook,15.6,4,Windows 10,1.85,22105.872,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 520
Asus,Ultrabook,14.0,8,Windows 10,1.3,63563.04,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce 940MX
MSI,Gaming,15.6,16,Windows 10,2.2,69210.72,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1050 Ti
Lenovo,Notebook,14.0,8,Windows 10,1.58,78854.4,2.7,Intel, Core i7 7500U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 620
Asus,Ultrabook,15.6,16,Windows 10,1.5,67239.36,1.8,Intel, Core i7 8550U ,256,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce MX150
Dell,Ultrabook,13.3,8,Windows 10,1.23,73473.12,2.4,Intel, Core i7 7560U ,256,0.0,SSD,None,1,3200x1800,Without,Intel, Iris Plus Graphics 640
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,74538.72,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, HD Graphics 620
HP,Notebook,14.0,4,Windows 10,1.63,38468.16,1.6,Intel, Core i5 8250U ,500,0.0,HDD,None,0,1366x768,IPSPanel,Intel, UHD Graphics 620
Dell,Ultrabook,13.3,8,Windows 10,1.21,86793.12,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,74538.1872,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,1,1920x1080,IPSPanel,Intel, UHD Graphics 620
HP,Notebook,14.0,8,Windows 10,1.63,57755.52,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.16,60223.98239999999,1.8,Intel, Core i7 8550U ,256,1000.0,SSD,HDD,0,1920x1080,IPSPanel,Nvidia, GeForce 940MX
Asus,Notebook,17.3,4,Windows 10,2.0,30049.92,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 920MX
Asus,Notebook,15.6,8,Windows 10,1.7,59567.04,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
Acer,Notebook,15.6,6,Windows 10,2.1,25521.12,2.4,Intel, Core i3 7100U ,1000,0.0,HDD,None,1,1920x1080,IPSPanel,Intel, HD Graphics 620
MSI,Gaming,15.6,16,Windows 10,1.8,119427.12,2.8,Intel, Core i7 7700HQ ,256,2000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1070
Lenovo,Notebook,15.6,8,No OS,2.2,33513.119999999995,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 940MX
HP,Notebook,17.3,16,Windows 10,2.5,67718.88,1.8,Intel, Core i7 8550U ,512,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce 930MX 
Acer,Notebook,15.6,4,Windows 10,2.1,24029.28,3.0,AMD, A9-Series 9420 ,256,0.0,SSD,None,0,1366x768,Without,AMD, Radeon R5
HP,Notebook,15.6,4,No OS,1.86,13799.52,1.6,Intel, Celeron Dual Core N3060 ,500,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 400
HP,Notebook,14.0,8,Windows 10,1.63,43263.36,1.6,Intel, Core i5 8250U ,1000,0.0,HDD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Asus,Notebook,14.0,4,Windows 10 S,1.65,14811.3072,1.5,AMD, E-Series 6110 ,64,0.0,SSD,None,0,1366x768,Without,AMD, Radeon R2
Dell,Notebook,17.3,16,Windows 10,2.8,74378.87999999999,1.8,Intel, Core i7 8550U ,256,2000.0,SSD,HDD,0,1920x1080,Without,AMD, Radeon 530
HP,Notebook,17.3,8,Windows 10,2.5,49443.84,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Dell,Notebook,15.6,8,Windows 10,2.36,34045.3872,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1366x768,Without,AMD, Radeon R7 M445
Dell,Notebook,15.6,4,Windows 10,2.2,23922.72,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1920x1080,Without,AMD, Radeon R5 M430
Acer,Ultrabook,14.0,8,Windows 10,1.6,47099.52,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, UHD Graphics 620
Acer,Notebook,15.6,4,Windows 10,2.2,30476.16,2.7,Intel, Core i3 7130U ,256,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce MX130
HP,Notebook,15.6,8,Windows 10,2.05,31861.44,2.7,Intel, Core i7 7500U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 620
HP,Notebook,14.0,8,Windows 10,1.63,52640.64,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
Lenovo,Notebook,15.6,4,No OS,1.9,13445.7408,1.1,Intel, Celeron Dual Core N3350 ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 500
Asus,Gaming,17.3,8,Windows 10,3.0,49976.64,2.5,Intel, Core i5 7300HQ ,128,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Lenovo,Notebook,15.6,4,No OS,2.2,26586.72,2.5,Intel, Core i5 7200U ,1000,0.0,HDD,None,0,1920x1080,Without,Nvidia, GeForce 920MX
HP,Notebook,13.3,4,Windows 10,1.32,37242.72,2.5,Intel, Core i5 7200U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Intel, HD Graphics 620
Acer,Notebook,17.3,4,Windows 10,3.0,34898.4,2.7,Intel, Core i3 7130U ,1000,0.0,HDD,None,0,1920x1080,IPSPanel,Nvidia, GeForce MX130
Lenovo,Notebook,14.0,8,Windows 10,1.75,59461.5456,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,IPSPanel,AMD, Radeon RX 550
Lenovo,Gaming,15.6,8,No OS,2.4,46300.32,2.8,Intel, Core i7 7700HQ ,256,0.0,SSD,None,0,1920x1080,IPSPanel,Nvidia, GeForce GTX 1050M
Toshiba,Notebook,15.6,4,Windows 10,2.1,32074.56,2.3,Intel, Core i5 6200U ,500,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
HP,Notebook,15.6,4,Windows 10,1.86,19660.32,2.5,AMD, A6-Series 9220 ,256,0.0,SSD,None,0,1366x768,Without,AMD, Radeon R4 Graphics
Asus,Ultrabook,14.0,8,Windows 10,1.25,58554.72,1.8,Intel, Core i7 8550U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, UHD Graphics 620
HP,Ultrabook,12.5,8,Windows 10,0.97,107305.92,1.2,Intel, Core M 6Y75 ,512,0.0,SSD,None,1,3840x2160,IPSPanel,Intel, HD Graphics 515
Asus,Notebook,15.6,4,Windows 10,2.0,18328.32,1.1,Intel, Celeron Dual Core N3350 ,1000,0.0,HDD,None,0,1920x1080,Without,Intel, HD Graphics 500
MSI,Gaming,17.3,16,Windows 10,2.9,108105.12,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1070
Acer,Notebook,15.6,4,Windows 10,2.1,23816.16,2.0,Intel, Core i3 6006U ,1000,0.0,HDD,None,0,1366x768,Without,Intel, HD Graphics 520
Dell,Gaming,15.6,16,Windows 10,2.56,66560.5728,2.8,Intel, Core i7 7700HQ ,512,0.0,SSD,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Dell,Gaming,15.6,8,Windows 10,2.62,47898.72,2.8,Intel, Core i7 7700HQ ,1000,0.0,Hybrid,None,0,1920x1080,Without,Nvidia, GeForce GTX 1050
Lenovo,Notebook,15.6,4,Windows 10,1.9,26533.44,2.5,Intel, Core i5 7200U ,128,0.0,SSD,None,0,1366x768,Without,Intel, HD Graphics 620
MSI,Gaming,17.3,16,Windows 10,2.8,100699.2,2.8,Intel, Core i7 7700HQ ,256,1000.0,SSD,HDD,0,1920x1080,Without,Nvidia, GeForce GTX 1060
HP,Ultrabook,14.0,4,Windows 10,1.48,57648.96,2.7,Intel, Core i5 7500U ,256,0.0,SSD,None,0,1920x1080,Without,Intel, HD Graphics 620
HP,Notebook,15.6,6,Windows 10,1.91,32980.32,1.6,Intel, Core i5 8250U ,256,0.0,SSD,None,0,1920x1080,Without,AMD, Radeon 520
